Step,Time,State,Temperature,Volume,Density,TotalEnergy,KineticEnergy,PotentialEnergy,Nonbonded_E,Bond_E,Angle_E,Dihedral_E,Others_E,Coulomb_E,Lennard-Jones_E
0,0,0,119.741,5.32911,1344.23,-523.416155514,161.283718242,-684.699873756,-684.699873756,0,0,0,0,0,-684.699873756
1,0.0054,0,119.711,5.32911,1344.23,-523.4162386,161.244382354,-684.660620955,-684.660620955,0,0,0,0,0,-684.660620955
2,0.0108,0,119.622,5.32911,1344.23,-523.41640453,161.124388305,-684.540792834,-684.540792834,0,0,0,0,0,-684.540792834
3,0.0162,0,119.472,5.32911,1344.23,-523.416654635,160.921776064,-684.338430698,-684.338430698,0,0,0,0,0,-684.338430698
4,0.0216,0,119.258,5.32911,1344.23,-523.416990288,160.633601287,-684.050591575,-684.050591575,0,0,0,0,0,-684.050591575
5,0.027,0,118.978,5.32911,1344.23,-523.417412813,160.255923549,-683.673336362,-683.673336362,0,0,0,0,0,-683.673336362
6,0.0324,0,118.627,5.32911,1344.23,-523.417923357,159.783797298,-683.201720656,-683.201720656,0,0,0,0,0,-683.201720656
7,0.0378,0,118.202,5.32911,1344.23,-523.418522702,159.211267509,-682.629790211,-682.629790211,0,0,0,0,0,-682.629790211
8,0.0432,0,117.697,5.32911,1344.23,-523.419211025,158.53137274,-681.950583765,-681.950583765,0,0,0,0,0,-681.950583765
9,0.0486,0,117.107,5.32911,1344.23,-523.419987581,157.736159204,-681.156146784,-681.156146784,0,0,0,0,0,-681.156146784
10,0.054,0,116.424,5.32911,1344.23,-523.420850297,156.81671046,-680.237560757,-680.237560757,0,0,0,0,0,-680.237560757
